  repo                      n  files  distinct  gap1-2  spread   rank1    hist   alpha    lift
  skyvern                 400   3.83      3.59   29.36   52.66   97.0%   0.25%   1.75%  +1.50
  airflow                 400   3.25      3.02   55.78   74.70   92.5%   1.00%   2.25%  +1.25
  curator                 389   3.76      3.23   22.65   33.13   91.5%   1.54%   2.57%  +1.03
  browser-use             400   3.44      3.09   52.28   66.10   94.0%   1.25%   1.00%  -0.25
  cartography             400   5.10      3.07    6.66    9.87   72.5%   5.50%   6.75%  +1.25
  transformers            400   3.60      3.10   11.20   18.26   91.2%   1.25%   1.50%  +0.25
  langchain               400   3.75      2.81   11.40   14.39   69.8%   5.50%   6.00%  +0.50
  vllm                    400   4.09      3.52   17.54   27.59   87.0%   1.00%   3.50%  +2.50
